"Attribute Type","Type Description","Architecture flag","Visible","Important","Required","Code","Code Label","Code Description","External Link","Group","Sort Order",Architecture Code,Badge Url,Highlight Style,Allow Multiple Codes,"Hide on Submission","Default Code"
"ACCPROCESS","Accreditation Process","false","false","false","false","DOD8500","DoD 8500","",
"ACCPROCESS","Accreditation Process","false","false","false","false","DCID6/3","DCID 6/3","",
"ACCPROCESS","Accreditation Process","false","false","false","false","ICD 503","DoD 8500","",
"ACCPROCESS","Accreditation Process","false","false","false","false","OTH","Other","",
"ACCSTATUS","Accreditation Status","false","false","false","false","ATO","ATO","",
"ACCSTATUS","Accreditation Status","false","false","false","false","IATO","IATO","",
"ACCSTATUS","Accreditation Status","false","false","false","false","ATOWPOA&M","ATO with POA&M","",
"ACCSTATUS","Accreditation Status","false","false","false","false","IATT","IATT","",
"ACCSTATUS","Accreditation Status","false","false","false","false","OTH","Other","",
"CEEAR","Commercial Exportable via EAR","false","false","false","false","Y","Yes","",
"CEEAR","Commercial Exportable via EAR","false","false","false","false","N","No","",
"DATAR","Data Rights","false","false","false","false","UR","Unlimited Rights (UR)","All uses; no restrictions",
"DATAR","Data Rights","false","false","false","false","GPR","Government Purpose Rights (GPR)","For Government Purposes only; no commercial use",
"DATAR","Data Rights","false","false","false","false","LR","Limited Rights (LR)","Unlimited; except may not be used for manufacture",
"DATAR","Data Rights","false","false","false","false","RR","Restricted Rights (RR)","Only one computer at a time; minimum backup copies; modification",
"DATAR","Data Rights","false","false","false","false","NLR","Negotiated License Rights","As negotiated by the parties; however, must not be less than LR in TD and must not be less than RR in noncommercial CS (consult with legal counsel as other limits apply)",
"DATAR","Data Rights","false","false","false","false","SBIR","SBIR Data Rights","All uses; no restrictions",
"DATAR","Data Rights","false","false","false","false","COMTD","Commercial TD License Rights","Unlimited in FFF and OMIT; other rights as negotiated.",
"DATAR","Data Rights","false","false","false","false","COMCS","Commercial CS Licenses","As specified in the commercial license customarily offered to the public4",
DI2ELEVEL,DI2E Evaluation Level,FALSE,TRUE,TRUE,TRUE,NA,No Evaluation Planned,"Planned Evaluation does not apply to DI2E Priorities, Focus Areas, Reference Architecture, Storefront (e.g. Guidebooks, reusable Contract Language, Lessons Learned, etc.). N/A indicates no evaluation is expected.",,NA,1,,,,FALSE
DI2ELEVEL,DI2E Evaluation Level,FALSE,TRUE,TRUE,TRUE,LEVEL0,Level 0 - Available for Reuse/No Evaluation Completed,Asset is added to the Storefront for reuse or consumption. Asset has not been evaluated for Enterprise readiness or Conformance. Asset will enter DI2E Clearinghouse Process to be assessed for potential reuse. Asset has completed the Component Prep and Analysis phase.,,LEVEL,3,,,,FALSE
DI2ELEVEL,DI2E Evaluation Level,FALSE,TRUE,TRUE,TRUE,LEVEL1,Level 1 - Checklist Inspection,"Inspection portion of DI2E Framework Evaluation Checklist complete. These questions focus mainly on the reuse potential (Visible, Accessible, and Understandable) by analysis of the information provided. This level does not represent the pass or fail, the Consumer must read the Evaluation Report.",,LEVEL,4,,,,FALSE
DI2ELEVEL,DI2E Evaluation Level,FALSE,TRUE,TRUE,TRUE,LEVEL2,Level 2 - Integration and Testing,"Integration and Test portion of the DI2E Framework Evaluation Checklist complete. These questions focus on the interoperability and ease of reuse, and will normally include an I&amp;T plan. This level does not indicate a pass or fail of the conformance test. Consumer will read the Test Report linked in the storefront entry for program functionality.",,LEVEL,5,,,,FALSE
